target_draw,draw_date,history_cutoff,period,era,consensus_ticket,actual_main_numbers,special_number,hits,m1_plus,m2_plus,m3_plus,m4_plus,m5_plus,m6_plus,n_supported_numbers,top1_score,top1_support,top6_mean_support,rank6_score,rank7_score,rank6_minus_rank7_margin,rank6_support,rank7_support,rank6_rank7_tied,top6_family_breadth_mean,top6_distinct_families,score_entropy_norm,support_concentration_hhi,top6_score_mass_fraction,minority_support_mass,strategy_disagreement,family_disagreement,top6_slots_in_43_49,top6_slots_in_1_12,winner_ranks,winner_supports,winner_min_rank,n_winners_rank_7_8,n_winners_rank_7_12,n_winners_rank_21plus,n_winners_zero_support,top6_mean_gap,winners_mean_gap,top1_missed,special_rank,best_single_strategy_hits,n_strategies_m2plus
103000043,2014-05-16,103000042,SEARCH_1117,PRE_2023,3;11;15;17;33;37,14;31;38;41;42;45,29,0,0,0,0,0,0,0,41,0.234848,8,6.3333,0.151515,0.136364,0.015152,5,4,0,4.6667,8,0.904795,0.034491,0.335498,0.279221,0.888608,0.841271,0,2,13;20;22;24;27;40,2;2;2;3;5;1,13,0,0,4,0,8.5,9.333,1,33,2,4
103000044,2014-05-20,103000043,SEARCH_1117,PRE_2023,3;11;12;15;17;33,6;13;30;33;34;35,38,1,1,0,0,0,0,0,41,0.227273,6,6.0,0.174242,0.143939,0.030303,6,4,0,3.8333,6,0.896825,0.035756,0.337662,0.227273,0.887,0.862853,0,3,3;10;18;33;36;47,3;1;0;7;4;1,3,0,1,3,1,10.333,11.333,1,16,2,5
103000045,2014-05-23,103000044,SEARCH_1117,PRE_2023,3;12;15;16;17;37,11;17;22;27;30;46,15,1,1,0,0,0,0,0,43,0.234848,7,5.5,0.151515,0.136364,0.015152,5,4,0,3.8333,7,0.908834,0.03466,0.333333,0.218615,0.894359,0.86976,0,2,2;20;23;32;38;42,1;7;3;1;3;4,2,0,0,4,0,10.167,6.833,1,1,2,4
103000046,2014-05-27,103000045,SEARCH_1117,PRE_2023,11;15;16;17;33;37,10;19;23;26;32;39,16,0,0,0,0,0,0,0,43,0.280303,7,5.6667,0.143939,0.128788,0.015152,4,4,0,4.0,7,0.910854,0.035457,0.352814,0.311688,0.892431,0.852854,0,1,14;27;31;39;47;49,1;2;1;0;0;4,14,0,0,5,2,5.833,8.833,1,1,2,1
103000047,2014-05-30,103000046,SEARCH_1117,PRE_2023,9;11;16;17;20;33,9;17;21;24;30;35,15,2,1,1,0,0,0,0,39,0.25,7,5.8333,0.151515,0.121212,0.030303,7,4,0,3.8333,6,0.897756,0.035447,0.335498,0.231602,0.892352,0.853879,0,2,2;5;12;19;26;41,4;7;0;4;4;5,2,0,1,2,1,7.333,5.333,1,11,3,8
103000048,2014-06-03,103000047,SEARCH_1117,PRE_2023,2;9;11;16;17;30,16;31;32;33;35;44,46,1,1,0,0,0,0,0,44,0.340909,11,7.1667,0.174242,0.166667,0.007576,8,4,0,5.0,8,0.876696,0.042896,0.406926,0.24026,0.883456,0.827384,0,3,5;8;10;18;46;47,6;0;0;4;6;3,5,1,2,2,2,6.667,7.0,1,34,2,5
103000049,2014-06-06,103000048,SEARCH_1117,PRE_2023,3;9;10;17;30;35,25;29;40;41;47;49,48,0,0,0,0,0,0,0,43,0.30303,9,6.6667,0.159091,0.151515,0.007576,7,4,0,4.6667,8,0.880425,0.040554,0.383117,0.24026,0.890909,0.851622,0,3,19;29;32;34;47;49,1;0;5;0;2;5,19,0,0,5,2,4.333,14.667,1,43,3,3
103000050,2014-06-10,103000049,SEARCH_1117,PRE_2023,3;9;10;15;17;30,3;11;28;32;33;35,30,1,1,0,0,0,0,0,42,0.318182,10,6.1667,0.159091,0.159091,0.0,5,6,1,4.3333,8,0.879674,0.040723,0.376623,0.235931,0.887124,0.837379,0,3,2;7;15;33;34;38,6;1;1;3;1;6,2,1,1,3,0,6.333,7.667,1,3,2,3
103000051,2014-06-13,103000050,SEARCH_1117,PRE_2023,4;14;26;30;35;37,4;21;28;32;37;42,16,2,1,1,0,0,0,0,43,0.219697,5,5.6667,0.159091,0.151515,0.007576,5,4,0,4.0,7,0.899363,0.035176,0.313853,0.201299,0.902262,0.867412,0,1,1;2;15;25;26;39,5;1;2;4;7;2,1,0,0,3,0,7.0,6.333,0,20,2,3
103000052,2014-06-17,103000051,SEARCH_1117,PRE_2023,2;10;26;30;32;37,3;6;18;20;25;48,12,0,0,0,0,0,0,0,43,0.212121,8,5.3333,0.151515,0.143939,0.007576,4,4,0,3.8333,6,0.913566,0.032749,0.305195,0.214286,0.892523,0.869283,0,2,23;29;33;42;44;47,0;1;2;2;0;1,23,0,0,6,2,5.5,9.333,1,28,2,1
103000053,2014-06-20,103000052,SEARCH_1117,PRE_2023,2;7;10;14;30;32,12;14;16;33;36;47,48,1,1,0,0,0,0,0,42,0.227273,6,5.8333,0.181818,0.159091,0.022727,5,6,0,4.3333,7,0.899786,0.035766,0.348485,0.264069,0.894445,0.863117,0,3,5;14;16;23;33;37,3;6;3;3;6;3,5,0,0,3,0,9.0,10.5,1,41,3,6
103000054,2014-06-24,103000053,SEARCH_1117,PRE_2023,1;4;5;7;12;35,1;8;12;14;40;41,15,2,1,1,0,0,0,0,46,0.272727,7,5.5,0.151515,0.151515,0.0,4,5,1,3.8333,7,0.913372,0.034744,0.331169,0.294372,0.901426,0.884335,0,5,1;3;13;25;29;37,4;2;7;2;6;2,1,0,0,3,0,9.333,7.333,0,32,2,10
103000055,2014-06-27,103000054,SEARCH_1117,PRE_2023,7;10;12;15;35;40,13;21;27;34;35;36,24,1,1,0,0,0,0,0,43,0.242424,6,6.0,0.143939,0.136364,0.007576,5,3,0,4.5,8,0.902477,0.035297,0.322511,0.188312,0.890896,0.863152,0,3,5;18;25;38;40;49,2;1;1;3;6;0,5,0,0,4,1,7.5,7.167,1,29,2,1
103000056,2014-07-01,103000055,SEARCH_1117,PRE_2023,7;10;12;15;35;40,6;7;8;9;21;48,18,1,1,0,0,0,0,0,43,0.242424,6,5.8333,0.151515,0.128788,0.022727,7,3,0,4.0,8,0.907225,0.03406,0.316017,0.24026,0.897208,0.871318,0,3,2;7;10;28;42;49,1;5;1;3;4;0,2,1,2,3,1,7.667,6.167,1,30,2,2
103000057,2014-07-04,103000056,SEARCH_1117,PRE_2023,2;6;7;8;9;10,3;14;17;24;27;48,28,0,0,0,0,0,0,0,42,0.219697,6,5.0,0.151515,0.151515,0.0,4,7,1,4.0,8,0.896902,0.035663,0.318182,0.222944,0.896243,0.855771,0,6,17;18;22;24;42;43,0;3;3;2;2;1,17,0,0,4,1,5.667,5.167,1,48,3,2
103000058,2014-07-08,103000057,SEARCH_1117,PRE_2023,4;8;9;10;35;40,10;22;25;33;39;47,38,1,1,0,0,0,0,0,44,0.219697,6,5.6667,0.151515,0.136364,0.015152,7,3,0,4.0,8,0.923791,0.031634,0.298701,0.264069,0.908244,0.868569,0,4,5;24;36;39;40;47,4;1;0;3;2;3,5,0,0,5,1,5.0,8.833,1,11,2,2
103000059,2014-07-11,103000058,SEARCH_1117,PRE_2023,2;4;5;9;35;40,1;7;14;15;18;30,33,0,0,0,0,0,0,0,43,0.272727,6,6.1667,0.136364,0.128788,0.007576,6,4,0,4.3333,8,0.898186,0.037246,0.357143,0.25974,0.89482,0.863894,0,4,10;13;20;44;46;47,0;4;2;4;0;0,10,0,1,3,3,11.0,7.667,1,21,1,0
103000060,2014-07-15,103000059,SEARCH_1117,PRE_2023,2;4;5;8;35;40,7;18;23;32;34;48,13,0,0,0,0,0,0,0,44,0.272727,6,5.6667,0.136364,0.136364,0.0,6,8,1,4.0,7,0.909564,0.034951,0.324675,0.274892,0.893167,0.867678,0,4,12;22;36;43;44;48,4;1;3;1;0;1,12,0,1,5,1,12.0,5.5,1,34,2,2
103000061,2014-07-18,103000060,SEARCH_1117,PRE_2023,2;4;5;35;38;40,1;2;15;19;21;30,40,1,1,0,0,0,0,0,44,0.287879,7,6.5,0.159091,0.151515,0.007576,7,4,0,4.3333,6,0.896161,0.038286,0.367965,0.28355,0.891207,0.874117,0,3,2;16;19;25;26;45,0;6;2;2;2;3,2,0,0,3,1,15.167,8.167,1,6,2,1
